icao;city_icao;country;country_code
SA15;Kaiken (SA15);Argentina;AR
SA16;La Puntilla (SA16);Argentina;AR
SA17;Rio Cuarto (SA17);Argentina;AR
SA19;Puerto Deseado (SA19);Argentina;AR
SA20;Neuquen (SA20);Argentina;AR
SA21;Colonia Veinticinco de Mayo (SA21);Argentina;AR
SA22;Salta (SA22);Argentina;AR
SA23;Apostoles (SA23);Argentina;AR
SA24;Calilegua (SA24);Argentina;AR
SA25;Canadon Seco (SA25);Argentina;AR
SA26;Bella Vista (SA26);Argentina;AR
SA27;Puerto Rosales (SA27);Argentina;AR
SA28;Trenque Lauquen (SA28);Argentina;AR
SA29;Choele Choel (SA29);Argentina;AR
SA30;Colonia Catriel (SA30);Argentina;AR
SA31;San Nicolas (SA31);Argentina;AR
SA33;Comandante Luis Piedrabuena (SA33);Argentina;AR
SA34;Trelew (SA34);Argentina;AR
SA35;Andalgala (SA35);Argentina;AR
SA36;Saladillo (SA36);Argentina;AR
SA38;Las Lajas (SA38);Argentina;AR
SA39;San Salvador de Jujuy (SA39);Argentina;AR
SA40;San Juan (SA40);Argentina;AR
SA41;El Colorado (SA41);Argentina;AR
SA42;Santa Maria (SA42);Argentina;AR
SA44;Londres/Belen (SA44);Argentina;AR
SA45;Frias (SA45);Argentina;AR
SA46;Fiambala (SA46);Argentina;AR
SAAA;San Antonio de Areco (SAAA);Argentina;AR
SAAC;Concordia (SAAC);Argentina;AR
SAAG;Gualeguaychu (SAAG);Argentina;AR
SAAI;Veronica (SAAI);Argentina;AR
SAAJ;Junin (SAAJ);Argentina;AR
SAAK;Isla Martin Garcia (SAAK);Argentina;AR
SAAM;Puerto Ibicuy/Mazuraca (SAAM);Argentina;AR
SAAN;Pergamino (SAAN);Argentina;AR
SAAP;Paraná (SAAP);Argentina;AR
SAAR;Rosario (SAAR);Argentina;AR
SAAU;Villaguay (SAAU);Argentina;AR
SAAV;Santa Fe (SAAV);Argentina;AR
SABE;Buenos Aires (SABE);Argentina;AR
SABP;Coronel Pringles (SABP);Argentina;AR
SACA;Santa Isabel - Cordoba (SACA);Argentina;AR
SACC;La Cumbre (SACC);Argentina;AR
SACD;Cordoba (SACD);Argentina;AR
SACE;Santa Isabel - Cordoba (SACE);Argentina;AR
SACI;Pilar (SACI);Argentina;AR
SACL;Laguna Larga (SACL);Argentina;AR
SACM;Villa General Mitre (SACM);Argentina;AR
SACN;Ascochinga (SACN);Argentina;AR
SACO;Cordoba (SACO);Argentina;AR
SACP;Chepes (SACP);Argentina;AR
SACQ;Monte Quemado (SACQ);Argentina;AR
SACS;Villa de Soto (SACS);Argentina;AR
SACT;Gobernador Gordillo (SACT);Argentina;AR
SACV;Villa de Maria de Rio Seco (SACV);Argentina;AR
SADF;San Fernando (SADF);Argentina;AR
SADG;Monte Grande (SADG);Argentina;AR
SADJ;General Sarmiento (SADJ);Argentina;AR
SADL;La Plata (SADL);Argentina;AR
